Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize	Nodes in sources	Nodes in targets
output/data0-omicsintegrator1-params-NWTO3ON/pathway.txt	244	240	4	241	0	0
output/data0-omicsintegrator1-params-O2C5QMV/pathway.txt	183	179	4	181	0	0
output/data0-omicsintegrator1-params-O7Q5OR2/pathway.txt	272	267	5	267	0	0
output/data0-omicsintegrator1-params-OCZWG4W/pathway.txt	231	227	4	228	0	0
output/data0-omicsintegrator1-params-OK6APTT/pathway.txt	267	262	5	262	0	0
output/data0-omicsintegrator1-params-OMEEDBF/pathway.txt	323	316	7	318	0	0
output/data0-omicsintegrator1-params-OMELBQH/pathway.txt	272	267	5	267	0	0
output/data0-omicsintegrator1-params-OQILG4K/pathway.txt	139	137	2	138	0	0
output/data0-omicsintegrator1-params-P4AGOUA/pathway.txt	184	180	4	182	0	0
output/data0-omicsintegrator1-params-P4UFUTD/pathway.txt	135	133	2	134	0	0
output/data0-omicsintegrator1-params-PA74BX4/pathway.txt	266	261	5	261	0	0
output/data0-omicsintegrator1-params-PAMUTBL/pathway.txt	173	169	4	171	0	0
output/data0-omicsintegrator1-params-PCX4WQP/pathway.txt	245	241	4	242	0	0
output/data0-omicsintegrator1-params-PQWWUQR/pathway.txt	200	196	4	198	0	0
output/data0-omicsintegrator1-params-PYHILQ7/pathway.txt	207	202	5	205	0	0
output/data0-omicsintegrator1-params-PZ36PKJ/pathway.txt	320	313	7	315	0	0
output/data0-omicsintegrator1-params-PZFDI5X/pathway.txt	150	147	3	148	0	0
output/data0-omicsintegrator1-params-Q3KKG2F/pathway.txt	150	147	3	148	0	0
output/data0-omicsintegrator1-params-Q5LZI3M/pathway.txt	236	232	4	233	0	0
output/data0-omicsintegrator1-params-QDIKJA3/pathway.txt	198	194	4	196	0	0
output/data0-omicsintegrator1-params-QFG36AK/pathway.txt	236	232	4	233	0	0
output/data0-omicsintegrator1-params-QG4UMOI/pathway.txt	198	194	4	196	0	0
output/data0-omicsintegrator1-params-QJVMQQ6/pathway.txt	190	186	4	188	0	0
output/data0-omicsintegrator1-params-QMQRJ2Z/pathway.txt	172	168	4	170	0	0
output/data0-omicsintegrator1-params-QXYANUB/pathway.txt	245	241	4	242	0	0
output/data0-omicsintegrator1-params-R2EZS4B/pathway.txt	271	266	5	266	0	0
output/data0-omicsintegrator1-params-RG5OZZ5/pathway.txt	242	238	4	239	0	0
output/data0-omicsintegrator1-params-RJFEMWD/pathway.txt	245	241	4	242	0	0
output/data0-omicsintegrator1-params-RLSD3TK/pathway.txt	211	206	5	209	0	0
output/data0-omicsintegrator1-params-RPBOY7L/pathway.txt	320	313	7	315	0	0
output/data0-omicsintegrator1-params-RXKLNEC/pathway.txt	163	160	3	161	0	0
output/data0-omicsintegrator1-params-S3OIA2T/pathway.txt	323	316	7	318	0	0
output/data0-omicsintegrator1-params-S443KAM/pathway.txt	184	180	4	182	0	0
output/data0-omicsintegrator1-params-S5N6EBP/pathway.txt	244	240	4	241	0	0
output/data0-omicsintegrator1-params-SBV7OXV/pathway.txt	200	196	4	198	0	0
output/data0-omicsintegrator1-params-SP2OX3F/pathway.txt	210	205	5	208	0	0
output/data0-omicsintegrator1-params-SZWFKHV/pathway.txt	270	265	5	265	0	0
output/data0-omicsintegrator1-params-TBGYFXF/pathway.txt	162	159	3	160	0	0
output/data0-omicsintegrator1-params-TENESUS/pathway.txt	258	253	5	253	0	0
output/data0-omicsintegrator1-params-TH3MDY2/pathway.txt	173	169	4	171	0	0
output/data0-omicsintegrator1-params-TIGYFM4/pathway.txt	135	133	2	134	0	0
output/data0-omicsintegrator1-params-TM6E3JM/pathway.txt	207	202	5	205	0	0
output/data0-omicsintegrator1-params-TNVYOS2/pathway.txt	268	263	5	263	0	0
output/data0-omicsintegrator1-params-TOMF5MK/pathway.txt	234	230	4	231	0	0
output/data0-omicsintegrator1-params-U2NRNB3/pathway.txt	200	196	4	198	0	0
output/data0-omicsintegrator1-params-UC7257I/pathway.txt	323	316	7	318	0	0
output/data0-omicsintegrator1-params-UL76SHI/pathway.txt	162	159	3	160	0	0
output/data0-omicsintegrator1-params-UPH3THP/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-VCIF7EM/pathway.txt	148	145	3	146	0	0
output/data0-omicsintegrator1-params-VG4G5P3/pathway.txt	141	139	2	140	0	0
