Node1	Node2	Frequency	Direction
PTTG1_HUMAN	PTTG_HUMAN	0.16	U
PTTG1_HUMAN	RS10_HUMAN	0.16	U
Q56A76_HUMAN	SIN3A_HUMAN	0.16	U
Q56A76_HUMAN	SMRC1_HUMAN	0.16	U
Q658J6_HUMAN	SQSTM_HUMAN	0.16	U
Q6FIE9_HUMAN	TOM1_HUMAN	0.04	U
RBBP5_HUMAN	WDR5_HUMAN	0.16	U
RBM5_HUMAN	SR140_HUMAN	0.2	U
RBMX_HUMAN	TRA2B_HUMAN	0.16	U
RBP2_HUMAN	UBC9_HUMAN	0.16	U
RBX1_HUMAN	UB2D2_HUMAN	0.16	U
RB_HUMAN	UBF1_HUMAN	0.16	U
RENT1_HUMAN	SMG5_HUMAN	0.16	U
RHG01_HUMAN	RHOA_HUMAN	0.16	U
RHOA_HUMAN	ROCK1_HUMAN	0.16	U
RING2_HUMAN	RYBP_HUMAN	0.16	U
RING2_HUMAN	UBP7_HUMAN	0.16	U
RIPK1_HUMAN	TNR1A_HUMAN	0.16	U
RIPK1_HUMAN	TRAF2_HUMAN	0.16	U
RN168_HUMAN	UBE2N_HUMAN	0.16	U
RN169_HUMAN	SUMO2_HUMAN	0.16	U
RNF25_HUMAN	UB2D2_HUMAN	0.16	U
RNF31_HUMAN	TNFA_HUMAN	0.08	U
ROCK1_HUMAN	MYPT1_HUMAN	0.16	D
ROCK1_HUMAN	RHG35_HUMAN	0.16	D
RPTOR_HUMAN	RRAGA_HUMAN	0.16	U
RRAGA_HUMAN	RRAGC_HUMAN	0.16	U
RRAGA_HUMAN	RRAGD_HUMAN	0.16	U
RSF1_HUMAN	SMCA5_HUMAN	0.16	U
SAFB1_HUMAN	SAFB2_HUMAN	0.16	U
SENP1_HUMAN	SUMO2_HUMAN	0.16	U
SENP2_HUMAN	SUMO1_HUMAN	0.16	U
SENP3_HUMAN	SUMO2_HUMAN	0.16	U
SFPQ_HUMAN	SUMO1_HUMAN	0.16	U
SKI_HUMAN	SMAD4_HUMAN	0.04	U
SKI_HUMAN	SNW1_HUMAN	0.04	U
SMAD3_HUMAN	SMAD4_HUMAN	0.16	U
SMAD3_HUMAN	ZEP1_HUMAN	0.04	U
SMAD4_HUMAN	TGFA1_HUMAN	0.16	U
SMC1A_HUMAN	SMC3_HUMAN	0.16	U
SMC2_HUMAN	SMC4_HUMAN	0.08	U
SMC3_HUMAN	WAPL_HUMAN	0.04	U
SMG1_HUMAN	RENT1_HUMAN	0.12	D
SMRCD_HUMAN	SUMO2_HUMAN	0.16	U
SNUT1_HUMAN	SUMO2_HUMAN	0.16	U
SP16H_HUMAN	SUMO2_HUMAN	0.16	U
SPT4H_HUMAN	SPT5H_HUMAN	0.16	U
