Node,max_freq
ZN397_HUMAN,0.04
ZN446_HUMAN,0.04
4ET_HUMAN,0.16
AB1IP_HUMAN,0.12
ABI1_HUMAN,0.16
ABL2_HUMAN,0.16
ABR_HUMAN,0.12
ACACA_HUMAN,0.16
ACAP1_HUMAN,0.16
ADDB_HUMAN,0.12
AGAP2_HUMAN,0.12
AJUBA_HUMAN,0.12
AN32B_HUMAN,0.16
API5_HUMAN,0.18
APOA1_HUMAN,0.12
ARI4A_HUMAN,0.16
ARMC7_HUMAN,0.12
ARP10_HUMAN,0.15
ASAP3_HUMAN,0.08
ASHWN_HUMAN,0.16
ATX10_HUMAN,0.16
BAG6_HUMAN,0.16
BCLF1_HUMAN,0.16
BD1L1_HUMAN,0.16
BPTF_HUMAN,0.16
C10_HUMAN,0.08
C1TM_HUMAN,0.12
C2C2L_HUMAN,0.08
CAP1_HUMAN,0.12
CBX3_HUMAN,0.16
CC020_HUMAN,0.12
CCD86_HUMAN,0.12
CCNK_HUMAN,0.12
CD5_HUMAN,0.16
CDK17_HUMAN,0.16
CDN1B_HUMAN,0.12
CE164_HUMAN,0.12
CE170_HUMAN,0.12
CE350_HUMAN,0.12
CEP95_HUMAN,0.12
CH60_HUMAN,0.16
CHSP1_HUMAN,0.16
CLAP1_HUMAN,0.16
CLAP2_HUMAN,0.16
CLK3_HUMAN,0.16
CO9_HUMAN,0.12
COMD6_HUMAN,0.16
CPZIP_HUMAN,0.12
CRIP2_HUMAN,0.12
CRTC1_HUMAN,0.12
CT2NL_HUMAN,0.12
CUX1_HUMAN,0.16
DAP1_HUMAN,0.12
DBF4A_HUMAN,0.16
DBNL_HUMAN,0.16
DDX3X_HUMAN,0.16
DDX52_HUMAN,0.12
DDX55_HUMAN,0.12
DEN1B_HUMAN,0.08
DHX30_HUMAN,0.16
DMXL2_HUMAN,0.08
DNLI1_HUMAN,0.16
DOCK7_HUMAN,0.16
DOK1_HUMAN,0.16
DOT1L_HUMAN,0.16
DSN1_HUMAN,0.16
DTBP1_HUMAN,0.12
DUS3_HUMAN,0.16
E41L2_HUMAN,0.12
EDC3_HUMAN,0.16
EEPD1_HUMAN,0.12
EF2K_HUMAN,0.16
EGLN1_HUMAN,0.16
EHBP1_HUMAN,0.12
ELL2_HUMAN,0.16
ELP4_HUMAN,0.12
EPN1_HUMAN,0.16
EPN4_HUMAN,0.12
ETS1_HUMAN,0.16
F5H0R1_HUMAN,0.16
FA53C_HUMAN,0.12
FACD2_HUMAN,0.16
FANCJ_HUMAN,0.16
FBLN1_HUMAN,0.12
FEM1A_HUMAN,0.12
FETUA_HUMAN,0.12
FOXK2_HUMAN,0.16
FUBP3_HUMAN,0.12
FYV1_HUMAN,0.16
GAB3_HUMAN,0.12
GAPD1_HUMAN,0.12
GBF1_HUMAN,0.16
GBRG2_HUMAN,0.12
GELS_HUMAN,0.16
GEPH_HUMAN,0.12
GLE1_HUMAN,0.12
GLPC_HUMAN,0.08
GRDN_HUMAN,0.16
GTF2I_HUMAN,0.16
GUAA_HUMAN,0.12
GYS1_HUMAN,0.12
H14_HUMAN,0.16
H15_HUMAN,0.16
H2B1M_HUMAN,0.12
H33_HUMAN,0.16
HAUS8_HUMAN,0.12
HECD1_HUMAN,0.12
HERC1_HUMAN,0.12
HJURP_HUMAN,0.16
HMHA1_HUMAN,0.12
HNRL1_HUMAN,0.12
HS105_HUMAN,0.12
ICAM2_HUMAN,0.12
IF4B_HUMAN,0.16
IF4H_HUMAN,0.12
IFG15_HUMAN,0.12
IKZF1_HUMAN,0.12
IKZF2_HUMAN,0.12
IMA1_HUMAN,0.16
INAR1_HUMAN,0.12
INCE_HUMAN,0.24
INF2_HUMAN,0.12
IPYR_HUMAN,0.12
IQCB1_HUMAN,0.08
IQGA1_HUMAN,0.08
IRF2_HUMAN,0.12
IRX1_HUMAN,0.12
ITFG2_HUMAN,0.08
ITIH1_HUMAN,0.12
ITIH2_HUMAN,0.12
J3KPH8_HUMAN,0.16
JARD2_HUMAN,0.09
JHD2C_HUMAN,0.12
JIP4_HUMAN,0.08
JUNB_HUMAN,0.16
K1C9_HUMAN,0.12
K2C1_HUMAN,0.12
KAPCB_HUMAN,0.12
KAT5_HUMAN,0.08
KCTD9_HUMAN,0.12
KDIS_HUMAN,0.12
KDM2A_HUMAN,0.12
KDM6B_HUMAN,0.12
KI67_HUMAN,0.12
KIF1B_HUMAN,0.16
KIF1C_HUMAN,0.16
KIF22_HUMAN,0.12
KIFC1_HUMAN,0.12
KKCC2_HUMAN,0.12
KLDC4_HUMAN,0.12
KLF13_HUMAN,0.16
KMT2C_HUMAN,0.16
L2GL1_HUMAN,0.08
LAGE3_HUMAN,0.12
LAP2A_HUMAN,0.12
LAR1B_HUMAN,0.12
LAR4B_HUMAN,0.12
LARP1_HUMAN,0.16
LASP1_HUMAN,0.16
LBR_HUMAN,0.16
LC7L2_HUMAN,0.16
LEO1_HUMAN,0.16
LEUK_HUMAN,0.12
LIMA1_HUMAN,0.12
LIMD1_HUMAN,0.12
LIPB1_HUMAN,0.16
LMBL3_HUMAN,0.12
LMNB2_HUMAN,0.12
LPIN1_HUMAN,0.12
LRCH3_HUMAN,0.12
LRRF1_HUMAN,0.08
LS14A_HUMAN,0.12
LZTS1_HUMAN,0.12
MA7D1_HUMAN,0.12
MABP1_HUMAN,0.12
MADD_HUMAN,0.12
MARCS_HUMAN,0.16
MARE2_HUMAN,0.12
MARK2_HUMAN,0.12
MAST2_HUMAN,0.12
MAST3_HUMAN,0.12
MB12A_HUMAN,0.16
MBP_HUMAN,0.08
MCES_HUMAN,0.12
MCM3_HUMAN,0.12
MCM4_HUMAN,0.16
MCP_HUMAN,0.12
MDC1_HUMAN,0.16
MEF2A_HUMAN,0.16
MEF2D_HUMAN,0.16
MFF_HUMAN,0.12
MGAP_HUMAN,0.12
MIA2_HUMAN,0.12
MINT_HUMAN,0.16
MKRN2_HUMAN,0.08
MNX1_HUMAN,0.12
MOV10_HUMAN,0.16
MPP8_HUMAN,0.12
MPZL1_HUMAN,0.16
MRP_HUMAN,0.16
MSL1_HUMAN,0.12
MY18A_HUMAN,0.18
MYO5A_HUMAN,0.12
MYPT1_HUMAN,0.16
NASP_HUMAN,0.12
NBEL2_HUMAN,0.12
NCBP1_HUMAN,0.16
NCK5L_HUMAN,0.12
NCOA2_HUMAN,0.16
NCOA3_HUMAN,0.16
NCOA5_HUMAN,0.12
NDE1_HUMAN,0.16
NDEL1_HUMAN,0.12
NDUA5_HUMAN,0.08
NELFE_HUMAN,0.15
NEXN_HUMAN,0.08
NF1_HUMAN,0.12
NFAC1_HUMAN,0.16
NFAC3_HUMAN,0.16
NFKB1_HUMAN,0.12
NGAP_HUMAN,0.16
NIPBL_HUMAN,0.16
NOC2L_HUMAN,0.16
NOSIP_HUMAN,0.12
NRL_HUMAN,0.08
NSD2_HUMAN,0.16
NU133_HUMAN,0.16
NUCKS_HUMAN,0.12
NUMB_HUMAN,0.16
OCAD2_HUMAN,0.12
OSB11_HUMAN,0.12
OSBL3_HUMAN,0.16
P121A_HUMAN,0.12
P5CR2_HUMAN,0.16
PACN3_HUMAN,0.12
